"Day","Date","League","Type","Anatomical.Knowledge","Ancient.Waystones","Apparitions","Assassin.s.Haste","Atziri.s.Reign","Blood.Sacrifice","Brawn","Brittle.Barrier","Brute.Force.Solution","Careful.Planning","Cheap.Construction","Chill.of.Corruption","Clear.Mind","Coated.Shrapnel","Cold.Steel","Collateral.Damage","Combustibles","Conqueror.s.Efficiency","Conqueror.s.Longevity","Conqueror.s.Potency","Corrupted.Energy","Dead.Reckoning","Efficient.Training","Eldritch.Knowledge","Emperor.s.Cunning","Emperor.s.Mastery","Emperor.s.Might","Emperor.s.Wit","Energised.Armour","Energy.From.Within","Fertile.Mind","Fevered.Mind","Fight.for.Survival","Fireborn","First.Snow","Fluid.Motion","Fortified.Legion","Fragile.Bloom","Fragility","From.Dust","Frozen.Trail","Grand.Spectrum","Growing.Agony","Hair.Trigger","Hazardous.Research","Healthy.Mind","Hidden.Potential","Hotfooted","Hungry.Abyss","Inertia","Inevitability","Inspired.Learning","Intuitive.Leap","Izaro.s.Turmoil","Lioneye.s.Fall","Malicious.Intent","Mantra.of.Flames","Martial.Artistry","Might.and.Influence","Might.in.All.Forms","Mutated.Growth","Omen.on.the.Winds","Overwhelming.Odds","Pacifism","Pitch.Darkness","Poacher.s.Aim","Powerlessness","Primordial.Eminence","Primordial.Harmony","Primordial.Might","Pugilist","Pure.Talent","Rain.of.Splinters","Rapid.Expansion","Reckless.Defence","Ring.of.Blades","Rolling.Flames","Sacrificial.Harvest","Self.Flagellation","Shattered.Chains","Soul.s.Wick","Spire.of.Stone","Spirit.Guards","Spirited.Response","Spreading.Rot","Static.Electricity","Steel.Spirit","Sudden.Ignition","Survival.Instincts","Survival.Secrets","Survival.Skills","The.Anima.Stone","The.Blue.Dream","The.Blue.Nightmare","The.Golden.Rule","The.Green.Dream","The.Green.Nightmare","The.Long.Winter","The.Red.Dream","The.Red.Nightmare","The.Vigil","To.Dust","Unending.Hunger","Unstable.Payload","Vaal.Sentencing","Violent.Dead","Volley.Fire","Warlord.s.Reach","Watcher.s.Eye","Weight.of.Sin","Weight.of.the.Empire","Wildfire","Winter.s.Bounty","Winter.Burial","Might.of.the.Meek","Combat.Focus","Tempered.Flesh","Tempered.Mind","Tempered.Spirit","Transcendent.Flesh","Transcendent.Mind","Transcendent.Spirit","Unnatural.Instinct","Brutal.Restraint","Divide.and.Conquer","Elegant.Hubris","Fortress.Covenant","Glorious.Vanity","Lethal.Pride","Militant.Faith","Quickening.Covenant","Army.of.Bones","Thread.of.Hope"
55,"2018-04-25","Bestiary","UniqueJewel",1,0.58067,0.42533,0.46,0.47,0.47,0.486,0.47,0.61956,0.47,0.46622,1,0.92178,0.35622,0.46178,0.38022,0.69867,0.46578,0.36044,0.47,0.62556,1.96756,1.18022,0.47,64.99067,2244.22844,551.09289,251.77822,0.34889,8.37422,0.87467,111.51067,0.46844,1.81956,0.46178,0.46156,0.46333,0.44022,2,0.64156,0.88644,1.93711,0.36978,0.438,0.46867,0.51844,0.47,0.40711,0.948,0.47,0.47,14.42422,3.692,1.86422,95.39333,0.45556,0.47,0.47,0.46444,0.39133,0.47,0.44467,0.47,0.47,0.47,0.45867,0.47,0.99733,5.244,24.18689,0.43422,11.85267,0.46889,0.37333,7.09978,0.46911,0.42778,1,1.23133,0.26756,0.47,0.47,0.41444,0.46889,0.47,0.60533,0.42311,0.40689,0.41956,0.43533,0.09644,38.76178,70.30067,643.22773,0.47,90.94267,638.24133,2.09333,240.58622,823.87489,0.46956,13.29711,0.97978,0.47,0.82956,0.47,0.46689,0.436,56.67622,0.47,0.46333,0.99133,0.452,0.43844,34.02733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"2018-04-26","Bestiary","UniqueJewel",0.99956,0.65778,0.426,0.43311,0.47,0.47,0.48111,0.47,0.47022,0.47,0.46867,1,0.89511,0.40733,0.43156,0.44533,0.93444,0.45933,0.39933,0.47,0.49067,1.63644,1.34511,0.46733,65.648,2327.33733,550.94556,257.35333,0.32178,8.04556,0.95244,111.22067,0.46889,1.99,0.46422,0.47,0.45622,0.46244,2,0.77178,0.80578,2.00067,0.40156,0.47,0.45778,0.59156,0.46889,0.46,0.97156,0.47,0.46889,14.26844,3.39422,1.11978,93.18222,0.46222,0.47,0.47044,0.47,0.38622,0.47,0.41867,0.47,0.47,0.47,0.38467,0.47,1,5.54711,22.11356,0.44844,10.71222,0.47,0.45378,7.274,0.466,0.45711,1,1.36089,0.46289,0.47,0.46978,0.46467,0.47,0.45911,0.54956,0.468,0.44178,0.37511,0.31533,0.19622,37.50689,72.94156,151.83875,0.46978,89.65689,611.62911,2.00667,252.97111,841.52711,0.47,14.032,0.99889,0.47,0.768,0.46911,0.47,0.318,50.99156,0.47,0.47,0.98289,0.47,0.46489,30.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"2018-04-27","Bestiary","UniqueJewel",1,0.76333,0.45133,0.36644,0.474,0.474,0.47644,0.47378,0.474,0.47311,0.47067,1,0.83333,0.16956,0.47289,0.45244,0.96711,0.44111,0.11133,0.47378,0.51044,1.612,1.01289,0.45378,59.26022,2375.81667,574.77044,252.66556,0.24222,7.158,0.83044,107.98622,0.474,2,0.474,0.44111,0.474,0.43378,1.64222,0.56222,0.88622,2,0.35022,0.47178,0.45044,0.50667,0.46489,0.42978,0.96156,0.474,0.47067,14.43844,3.02289,2.02822,92.18644,0.43133,0.474,0.45444,0.47089,0.39111,0.474,0.47022,0.474,0.47378,0.474,0.37289,0.46244,1,5.43667,22.31889,0.474,10.42444,0.474,0.41022,7.526,0.47178,0.42378,1.01756,1.602,0.47044,0.47356,0.474,0.44933,0.45978,0.47333,0.474,0.46711,0.26533,0.40667,0.33,0.13111,37.94933,78.35178,0,0.47178,85.34244,600.90089,2.46733,250.96111,848.97644,0.46356,13.08689,0.97356,0.474,1,0.474,0.474,0.30067,52.542,0.474,0.474,0.90733,0.474,0.45333,29.84022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"2018-04-28","Bestiary","UniqueJewel",1,0.70036,0.11,0.4051,0.4751,0.47,0.4751,0.47,0.47,0.47,0.47,1,1,0.11,0.47,0.2751,0.96449,0.45,0.09,0.47,0.55,2,1.22224,0.44,50.62,2244.79333,564.89,260.04,0.4,8,0.64531,102.2402,0.47,2,0.47,0.47,0.47,0.47,1.07,0.74,0.74061,2,0.3502,0.47,0.47,0.4751,0.47,0.29,0.97,0.47,0.47,15,3.07653,2,100,0.4,0.47,0.29,0.47,0.45,0.47,0.42,0.47,0.47,0.4751,0.43,0.47,1,6,21.95102,0.47,10,0.47,0.23041,8.82041,0.47,0.4651,1,2,0.47,0.47,0.47,0.4,0.47,0.47,0.47,0.47,0.09,0.18,0.44,0.1,38,65.88102,977.04,0.45,80.62408,553.1,2,234.04,827.77917,0.47,12.9151,1,0.47,1,0.47,0.47,0.31,45.56082,0.47,0.47,0.9902,0.47,0.4602,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"2018-04-29","Bestiary","UniqueJewel",1,0.73,0.13031,0.31,0.83388,0.47,0.47,0.47,0.4701,0.47,0.47,1,1,0.22,0.47,0.47,0.98,0.47,0.1,0.47,0.48,2,1,0.47,50.2225,2071.97833,548.015,252.1,0.3402,8,0.6001,98.91112,0.47,2,0.47,0.47,0.47,0.47,1.84163,0.47,1,2,0.4002,0.44,0.47,0.47,0.47,0.46,0.91,0.47,0.47,17,3,1.8002,92.02071,0.3802,0.47,0.4502,0.47,0.4301,0.87535,0.47,0.47,0.47,0.47,0.46,0.47,1,5.53102,22,0.41,10,0.47,0.2301,9,0.47,0.47,1,2,0.47,0.47,0.47,0.45,0.47,0.47,0.47,0.47,0.33,0.16,0.1601,0.11,39,63.53041,761.82,0.46,78.80051,535.31875,2.01112,232.39318,725.467,0.47,13.11102,1,0.47,1,0.47,0.47,0.35,45.89755,0.47,0.47,1,0.46,0.41,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"2018-04-30","Bestiary","UniqueJewel",1,0.84,0.41,0.3302,0.99,0.48,0.48,0.48,0.48,0.48,0.47,1.03,1,0.11,0.48,0.47,1,0.48,0.11,0.48,0.54759,2,1.06,0.48,96.1525,2171.216,574.818,258.04,0.26061,9.9251,0.48,97.53469,0.48,2,0.48,0.48,0.48,0.47,2,0.48,0.94,2,0.3202,0.4151,0.46,0.48,0.48,0.41,0.88,0.48,0.48,17,3,2,95.36653,0.48,0.47,0.4451,0.47,0.42,1,0.4551,0.47,0.48,0.48,0.4651,0.48,1,5.86061,25,0.47,11.1802,0.47,0.15,8,0.48,0.45,1,1,0.41,0.48,0.48,0.4551,0.33,0.48,0.48,0.47,0.4502,0.34,0.2302,0.1,39.21,63.06898,662.21,0.48,80.22959,553.23,2.98531,235.92,742.88,0.48,12,1,0.47,0.93,0.48,0.48,0.37,44.60408,0.48,0.48,1,0.48,0.44,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"2018-05-01","Bestiary","UniqueJewel",1,0.91,0.48,0.4,0.99,0.4701,0.48,0.48,0.48,0.48,0.48,1,1,0.11,0.48,0.47,1,0.48,0.1,0.48,0.48,2,2,0.45,95.55,2121.84,561.75,253.22,0.11,9.7902,0.75061,89.29724,0.48,2,0.48,0.48,0.48,0.4701,1.9102,0.48,0.91031,2,0.47,0.48,0.47,0.48,0.48,0.47,0.89,0.48,0.48,17.25051,3.79041,1,94.15867,0.47,0.48,0.48,0.48,0.41041,1,0.4301,0.48,0.47,0.48,0.48,0.48,1,6.06337,24,0.48,10,0.41,0.11,7.1,0.48,0.48,1,1,0.48,0.48,0.48,0.47,0.46,0.48,0.48,0.48,0.41,0.4,0.4,0.1,39.5625,60,633.05,0.4601,89.8198,638.45,2.66204,238.076,727.02,0.48,12.66061,1,0.45,0.93,0.48,0.48,0.4,43.70867,0.94846,0.48,1,0.48,0.48,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"2018-05-02","Bestiary","UniqueJewel",1,1,0.1,0.47,1,0.47,0.47,0.47,0.47,0.47,0.4302,1,1,0.11,0.47,0.47,1,0.47,0.11,0.47,0.6,2,2,0.47,504,2096.9675,536.30375,252,0.31,9.20031,0.48,90,0.47,2,0.47,0.47,0.41,0.42,1.4702,0.48,0.9801,3,0.41,0.47,0.47,0.47,0.47,0.47,0.91,0.47,0.47,15.215,4,1.03,90.31347,0.47,0.47,0.47,0.47,0.47,0.5128,0.47,0.47,0.47,0.47,0.4301,0.47,1,6.41357,23,0.47,10,0.47,0.4,7,0.47,0.47,1,1.9501,0.47,0.47,0.47,0.47,0.4401,0.47,0.47,0.4502,0.41,0.41,0.4,0.1,42,60,629.85,0.47,88.06854,629.5625,2,244.22813,713.61625,0.47,10,1,0.47,0.97,0.47,0.47,0.47,54.64786,1,0.47,1,0.47,0.3702,27.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"2018-05-03","Bestiary","UniqueJewel",1,1,0.41,0.47,1,0.47,0.47,0.47,0.47,0.47,0.47,1,1,0.3751,0.44,0.47,0.79367,0.45,0.11,0.47,0.86,2,1.6751,0.47,505.88,2258.85,537.63,265.59,0.43,9,0.47,88.34224,0.47,2,0.47,0.45,0.47,0.46,1,0.5751,0.94,2.64,0.41,0.47,0.45,0.47,0.47,0.4451,0.47,0.47,0.46,14.26041,4,1.81,87.65592,0.45,0.47,0.47,0.4651,0.47,0.55,0.4451,0.45,0.47,0.47,0.4,0.47,1,7,24,0.45,10,0.47,0.41,7.28041,0.47,0.47,1,2,0.4151,0.4651,0.47,0.47,0.4651,0.46,0.47,0.46,0.41,0.46,0.42,0.11,42.13625,63.66,0,0.46,88.53,632.35,3,252.94,726.84,0.47,12.76612,0.94,0.47,0.99,0.47,0.43,0.41,50,1,0.47,1,0.4351,0.4551,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"2018-05-04","Bestiary","UniqueJewel",1,1,0.41,0.41,0.46,0.45,0.45,0.45,0.45,0.45,0.45,1,1,0.1951,0.44,0.45,0.85,0.44,0.11,0.45,0.86,2,1.4751,0.45,505.88,2155.11,527.36,252.94,0.33,8.5502,0.45,100.36061,0.45,2,0.45,0.45,0.45,0.4151,1.19,0.45,0.94061,3,0.45,0.44,0.4351,0.45,0.45,0.45,0.45,0.45,0.45,13,3.87041,1,79.11837,0.4251,0.45,0.45,0.45,0.45,0.65,0.45,0.4451,0.45,0.45,0.41,0.45,1,6,24.96571,0.45,10,0.45,0.3402,10,0.44,0.45,1,1.71082,0.1,0.45,0.45,0.45,0.41,0.45,0.45,0.45,0.37,0.45,0.42,0.2851,42,63.73,0,0.45,88.07,632.5375,3,252.62138,726.246,0.45,12.48531,1,0.45,0.4551,0.45,0.45,0.45,47.3049,1,0.45,1,0.45,0.39,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"2018-05-05","Bestiary","UniqueJewel",1,0.99,0.2002,0.4,0.54,0.44,0.41,0.44,0.44,0.44,0.45,1,0.93071,0.1902,0.43,0.44,0.71,0.41,0.1,0.44,0.67,2,1,0.44,508.12,2057.08,540.01,254.06,0.1,8.12061,0.44,98.73031,0.44,2,0.41,0.44,0.4102,0.41,1.75,0.44,1,2,0.38,0.44,0.38,0.41,0.42,0.43,0.45,0.44,0.3801,12,3,1,75,0.38,0.44,0.44,0.38,0.44,0.45,0.4,0.3801,0.41,0.44,0.38,0.44,1,6,23,0.44,10,0.44,0.1602,7.00163,0.4001,0.42,1,1.82184,0.12,0.4,0.44,0.36,0.38,0.41,0.44,0.3301,0.2101,0.44,0.41,0.3401,41.65305,55,0,0.41,90,635.13333,3,254.03938,724.996,0.44,13.75,1,0.44,0.44,0.41,0.43,0.44,50.49245,0.9,0.44,1,0.4001,0.38,28.20102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"2018-05-06","Bestiary","UniqueJewel",0.99,0.81,0.29,0.3201,0.44,0.4201,0.44,0.44,0.43,0.43,0.44,1,1,0.15,0.4,0.4,0.60365,0.38,0.1,0.43,1,2,1,0.38,520.24,2336.49,556.80125,260.81,0.15,7.96041,0.44,90.17704,0.4101,1.99,0.44,0.43,0.4,0.41,1.16,0.44,0.8201,2,0.1101,0.3701,0.37,0.38,0.3701,0.1,0.47,0.44,0.38,10.52102,3,1.21,55.02939,0.25,0.44,0.44,0.38,0.44,0.44,0.38,0.38,0.38,0.44,0.3601,0.44,1,5,22.16122,0.37,10,0.42,0.31,7,0.37,0.41,1,1,0.1,0.42,0.44,0.37,0.4,0.4,0.44,0.33,0.39,0.4,0.28,0.13,40,51.33,0,0.4,83.28813,651.4,2,260.34,903.80667,0.3701,13.02163,1,0.44,0.44,0.39,0.38,0.3601,57.48459,1,0.37,1,0.37,0.39,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"2018-05-07","Bestiary","UniqueJewel",1,0.8,0.4,0.1,0.43,0.39,0.43,0.39,0.39,0.39,0.43,1,1,0.2801,0.37,0.37,0.43,0.37,0.1,0.39,0.92,2,1,0.4002,0,2372.12,546.764,271.88,0.2801,8,0.43,80,0.43,1.21,0.39,0.41,0.36,0.39,1.60061,0.43,0.9402,2,0.1401,0.37,0.37,0.43,0.37,0.1,0.42,0.39,0.3801,12,3,2,55.10429,0.3401,0.43,0.39,0.4,0.4,0.43,0.43,0.3701,0.39,0.42,0.36,0.43,1,5,22.35,0.37,10,0.4,0.3402,7,0.37,0.37,1,1,0.1,0.43,0.39,0.26,0.37,0.37,0.43,0.15,0.36,0.39,0.3701,0.26102,40,50,0,0.39,82.15,711.84667,2.1,304.4112,1358.95,0.39,11.90276,1,0.43,0.43,0.39,0.37,0.2,63.20847,1,0.37,1,0.37,0.37,29.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"2018-05-08","Bestiary","UniqueJewel",1,0.69,0.43,0.19531,0.55,0.43,0.43,0.4,0.39,0.39,0.4251,1,1,0.42,0.3751,0.38,0.43,0.36,0.1102,0.39,0.92,2,1,0.36,0,2205.92,591.22875,277.04,0.38,8,0.44,80,0.4151,1.61,0.41,0.4,0.36,0.36,1.17,0.43,1,2,0.09,0.38,0.38,0.43,0.36,0.36,0.41,0.39,0.36,12,3,2,60,0.33,0.43,0.39,0.3851,0.39,0.43,0.43,0.38,0.39,0.38091,0.36,0.43,1,5,22,0.36,9.04,0.39,0.39,7,0.3551,0.37,1,2,0.14,0.39,0.36,0.3202,0.36,0.36,0.43,0.32,0.0951,0.37,0.15,0.39,40.32,50,0,0.38,86.05,726.15,3,312.90182,1380.9,0.3451,10.34633,1,0.42,0.43,0.4,0.37,0.35,47.96388,0.98,0.36,1,0.36,0.37,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"2018-05-09","Bestiary","UniqueJewel",1,12.07,0.41,0.09,0.41,0.38,0.39,0.4,0.41,0.38,0.41,1,1,0.3651,0.36,0.38,0.41,0.35,0.09,0.38,0.93,2,1,0.3551,281.12,2107.8,674.08,281.12,0.38,8,0.82,80,0.41,2,0.38,0.38,0.3551,0.3551,1,0.41,1,1.03,0.09,0.38,0.34,0.41,0.3551,0.3651,0.39,0.38,0.3551,11,3,1,60,0.36,0.41,0.41,0.37,0.39,0.55,0.38,0.3751,0.4,0.36,0.33,0.41,1,5,20.17531,0.36,10,0.3551,0.23,6.49102,0.35,0.3551,1,2,0.17,0.38,0.36,0.34,0.3551,0.37,0.41,0.16,0.15061,0.29,0.1451,0.09,43.22,50,0,0.38,90.94,878.685,3,281.2075,956.83,0.35,13.39,0.83,0.4,0.41,0.38,0.36,0.2451,57.71857,0.95,0.3551,1,0.35,0.38,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"2018-05-10","Bestiary","UniqueJewel",1,2.62,0.16,0.16,0.4,0.38638,0.39,0.4,0.39,0.39,0.39,1,0.79612,0.3551,0.37,0.34,0.94,0.3451,0.09,0.37,1,2,1,0.34,285.98,2203.91,729.2125,285.98,0.37,8.91,0.77,74.43122,0.41,1.97,0.37,0.34,0.34,0.34,1,0.41,1,1.27286,0.32531,0.37,0.34,0.4,0.34,0.37,27.76,0.37,0.34,13,2.93,1,54.83061,0.4,0.4,0.4,0.36,0.4,0.44,0.3351,0.37,0.39,0.36,0.32,0.4,1,6.37184,20,0.36,10,0.3451,0.37,6.17041,0.34,0.34,1,1.71,0.29,0.37,0.34,0.34,0.34,0.37,0.41,0.33,0.18,0.27,0.3151,0.09,47.50813,48.5,0,0.34,91.49,1143.92,3,310.71556,1424.6,0.37,14.28531,1,0.4,0.4,0.38,0.39,0.19,50,0.83938,0.34,1,0.33,0.3951,29.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"2018-05-11","Bestiary","UniqueJewel",1,2.62,0.33,0.25,0.778,0.39,0.39,0.39,0.38,0.39,0.39,1,1,0.33,0.37,0.3201,0.52048,0.3301,0.09,0.37,1,2.46551,2,0.32,289.66,2225.72,737.945,289.68,0.12051,8,0.7602,73.17,0.3901,1.97,0.36,0.32,0.32,0.32,1,0.54,1,1.10409,0.37,0.38,0.36,0.3501,0.35,0.37,12,0.38,0.36,13.37779,3,1,60,0.35031,0.38,0.39,0.37,0.37,0.39,0.32,0.39,0.39,0.38,0.2402,0.39,1,8.67,20.88,0.37,10,0.32,0.37,10.94163,0.35,0.33,1,1.97,0.23,0.37,0.37,0.3701,0.37,0.39,0.87,0.33,0.15,0.3201,0.12051,0.09,49,50,0,0.32,90.92,1159.68,3.09031,362.4,0,0.37,14.27143,1,0.39,0.55,0.32,0.39,0.24,64.07112,0.91,0.32,1,0.32,0.3701,29.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"2018-05-12","Bestiary","UniqueJewel",1,1.05,0.35,0.32,1.13,0.38,0.9651,0.38,0.38,0.38,0.38,1,1,0.36,0.38,0.38,0.84,0.38,0.1,0.38,1,2.2502,2,0.32,286.64,2578.14,601.57,287.04,0.1051,8.24,0.38,73.16184,0.38,2,0.32,0.3651,0.3151,0.32,1.61,0.38,1,1.59,0.38,0.38,0.36,0.38,0.37,0.38,12,0.38,0.38,18.21429,3,3.54,60,0.34,0.38,0.32,0.38,0.38,0.61,0.2751,0.3651,0.38,0.38,0.32,0.38,1,9,24.70041,0.33,10,0.32,0.38,14.26102,0.33,0.37,1.06,2,0.32,0.32,0.38,0.37,0.37,0.38,1,0.38,0.19,0.33,0.1,0.0951,49,50,0,0.32,95.17,2291.68,3,390.77,1145.84,0.3651,20.59184,1,0.44,0.61,0.3451,0.38,0.32,50.07653,1,0.38,1,0.32,0.35531,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"2018-05-13","Bestiary","UniqueJewel",1,1,0.39,0.39,1,0.39,0.4,0.39,0.39,0.39,0.39,1.38,1,0.39,0.39,0.39,0.98382,0.39,0.34,0.39,1,3,2.47082,0.39,284.75,2304.0475,597.6725,287.07,0.19041,7.86143,0.39,74.7,0.39,2,0.39,0.39,0.35,0.2901,2,0.8301,0.9801,2,0.39,0.39,0.39,0.39,0.39,0.39,10.2,0.39,0.39,27.00173,3.5602,6,58.31112,0.39,0.39,0.39,0.39,0.39,0.94,0.37,0.32,0.39,0.39,0.38,0.44,1,9,28,0.38,10,0.33,0.3401,16.67,0.39,0.39,1.07,1.90031,0.39,0.39,0.39,0.39,0.39,0.39,1,0.39,0.27,0.39,0.11061,0.1,49,50,0,0.38,95.17,1429.8,3.00051,409.35875,1025.3075,0.33,20,1,0.7831,0.92,0.39,0.39,0.34,53.76092,1,0.39,1,0.32,0.3701,43.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"2018-05-14","Bestiary","UniqueJewel",1,1,0.38,0.39,1,0.39,0.39,0.39,0.39,0.39,0.39,1.46,0.96031,0.39,0.39,0.39,1,0.39,0.36,0.39,1,3,4.92082,0.39,289.16,2601.9,729.58,289.16,0.39,7,0.39,84.38,0.39,1.33071,0.39,0.39,0.39,0.39,2,1,1,1.24,0.39,0.3401,0.39,0.4,0.39,0.39,351.755,0.39,0.38,20,4,6,58,0.39,0.39,0.39,0.37,0.39,0.97,0.38,0.31,0.39,0.39,0.39,1,1,9.37,25,0.39,10,0.39,0.35,12.19684,0.39,0.39,1.51,1.31031,0.39,0.39,0.39,0.39,0.39,0.39,1,0.39,0.39,0.38,0.1,0.16,49,50,0,0.39,79.54,1185.4325,3.85,518.31063,1045.67,0.36,20,1,0.43,0.96,0.39,0.39,0.31,40.01388,1,0.39,1,0.32,0.39,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"2018-05-15","Bestiary","UniqueJewel",1,1,0.39,0.39,1,0.39,0.5201,0.39,0.4,0.39,0.39,2.39,1,0.39,0.39,0.39,1,0.39,0.39,0.39,1,3.55061,3.76092,0.36,288.06,2211.62,476.94,288.06,0.39,8,0.94,70.0799,0.40051,1,0.39,0.39,0.39,0.39,2,1,1,1.26,0.39,0.38,0.39,0.39,0.39,0.39,350.49,0.39,0.39,15.03102,4,5,58,0.3,0.39,0.39,0.3202,0.39,0.92667,0.3201,0.32,0.39,0.39,0.31,1,1,9.00061,24.63316,0.39,10,0.39,0.11,19.16,0.31,0.39,1.33667,2,0.39,0.33,0.39,0.39,0.39,0.39,1,0.39,0.39,0.2801,0.39,0.2,49.31,70.25,0,0.39,79.74,1440.3,3,543.29,1041.91,0.3601,19.95051,1,0.39,1.03,0.39,0.39,0.31,98.34704,1,0.39,1,0.3401,0.39,39.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"2018-05-16","Bestiary","UniqueJewel",1.37,1,0.4,0.4,1,0.4,0.41,0.4,0.4151,0.4,0.4,1,1,0.2851,0.4,0.4,0.96,0.4,0.3651,0.4,1,5,4,0.34,274.355,2202.3625,577.04,288.04,0.38,8,1,86.38,0.73612,1,0.4,0.4,0.4,0.4,2,1,0.64061,1.9002,0.3351,0.23,0.4,0.9502,0.4,0.4,25.49,0.4,0.4,17.9951,4,8,49.80327,0.4,0.4,0.4,0.4,0.4,0.97,0.3651,0.4,0.4,0.4,0.31,1,1,9,24.67,0.4,10.2,0.4,0.16,20,0.4,0.4,1.62,2,0.4,0.39,0.4,0.4,0.4,0.4,1,0.39,0.31,0.31,0.4,0.4,61.5745,79.76,0,0.4,79.52,1440.2,4.0251,556.81,1057.98375,0.39,25.34633,1,0.42,0.65448,0.4,0.4,0.37,60,1,0.4,1,0.4,0.4,44.36939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,"2018-05-17","Bestiary","UniqueJewel",1.48588,1.1,0.42,0.42,0.92,0.42,1,0.42,0.43,0.42,0.42,2.6,1,0.2751,0.42,0.42,0.82125,0.42,0.11,0.3951,1.1,3.9,3.78082,0.42,262.815,2168.775,433.89,288.06,0.39,8,1,74.96306,0.43,1,0.42,0.42,0.42,0.42,2,1,1,2,0.2902,0.3,0.42,0.9651,0.5502,0.42,12,0.42,0.42,17,2.77,8.5,50,0.42,0.45,0.42,0.42,0.42,3.92,0.2151,0.42,0.42,0.42,0.32,1,1,9.41,22.22,0.42,10.96,0.42,0.37,16.84,0.42,0.42,1.84,2,0.3951,0.6,0.42,0.42,0.42,0.42,1,0.42,0.42,0.31,0.42,0.38,55,80,720.15,0.42,82.62,1440.3,5,454.07769,1058.33,0.42,18.6849,1,0.42,0.8,0.42,0.42,0.42,51.14796,1,0.4051,1,0.42,0.42,43.55102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,"2018-05-18","Bestiary","UniqueJewel",1,1.12,0.43,0.43,0.902,0.43,1,0.43,0.4301,0.43,0.44,1.42,0.9101,0.43,0.43,0.43,1.09,0.43,0.11,0.43,4.22,4.11,2,0.43,258.835,2128.95,565.94,283.88,0.11276,8,1,79.17847,0.8402,1,0.4301,0.43,0.43,0.32,2,0.99,1,2,0.43,0.43,0.43,0.5001,0.44,0.43,17.09,0.43,0.43,18,3.96,10,50,0.43,0.47,0.43,0.43,0.34,2.6,0.31,0.43,0.43,0.43,0.35,1,1,8.98,20,0.43,10.0601,0.43,0.43,11.45796,0.43,0.3702,2.21,2,0.43,0.44,0.43,0.43,0.43,0.43,1,0.43,0.43,0.29,0.43,0.43,54.6,80,709.725,0.43,78.74,1419.45,4,470.94167,1027.42333,0.43,20,1,0.43167,0.91,0.43,0.43,0.43,61.86633,1,0.43,1,0.43,0.43,45.00724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
