"Day","Date","League","Type","Acton.s.Nightmare","Caer.Blaidd..Wolfpack.s.Den","Death.and.Taxes","Hall.of.Grandmasters","Hallowed.Ground","Maelstr√.m.of.Chaos","Mao.Kun","Oba.s.Cursed.Trove","Olmec.s.Sanctum","Pillars.of.Arun","Poorjoy.s.Asylum","The.Coward.s.Trial","The.Putrid.Cloister","The.Twilight.Temple","The.Vinktar.Square","Vaults.of.Atziri","Whakawairua.Tuahu","The.Beachhead_T10","The.Beachhead_T15","The.Perandus.Manor","Doryani.s.Machinarium","The.Beachhead_T5","Altered.Distant.Memory","Augmented.Distant.Memory","Cortex","Rewritten.Distant.Memory","The.Beachhead","Twisted.Distant.Memory"
1,"2017-12-08","Abyss HC","UniqueMap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"2017-12-09","Abyss HC","UniqueMap",12.2,0,0,4,10,0,15,9.16667,5,14.41765,10.9129,0,0,0,0,0,5.03032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"2017-12-10","Abyss HC","UniqueMap",7.88102,14.26606,6.41429,5.20647,8.19322,3.53918,12.1561,8.91424,4.57593,7.82576,9.41068,5.1852,11.14306,0,0,7.466,5.79407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"2017-12-11","Abyss HC","UniqueMap",4.80897,6.75621,4.55672,2.49862,6.61414,3.15328,11.50103,7.61586,4.32052,3.46983,9.20759,6.57914,13.05879,25,20,5.6081,2.89897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"2017-12-12","Abyss HC","UniqueMap",3.79276,4.80034,3.25948,1.83845,5.0731,3,7.33483,7.92207,3.71224,2.02155,9.41328,6.62603,23.96845,38.86414,21.90476,5.99845,1.9919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"2017-12-13","Abyss HC","UniqueMap",3.83224,3.94638,2.18276,2,4.72621,2.92776,8.31638,6.42862,4.30241,2.22397,8.43914,5.42759,23.15948,23.11121,20,5.03517,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"2017-12-14","Abyss HC","UniqueMap",4.79439,3.7607,2.68544,1.67228,3.76368,2.45158,7.44579,7.07246,3.14754,2.49088,8.16491,4.56439,24.38912,15.25772,16.2807,5.01754,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"2017-12-15","Abyss HC","UniqueMap",6.26741,3.64759,2.13966,1,2.94517,2,6.9019,7.08345,2.55672,2,8.4819,3.89586,25.42293,14.67086,16.35655,5.07552,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"2017-12-16","Abyss HC","UniqueMap",5.69456,3.40772,2.15053,1,2.83825,2,6.99649,6.98246,2.99649,2,8.0593,3.93421,24.50754,15,15.51518,5.11105,1.98211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"2017-12-17","Abyss HC","UniqueMap",4.86621,2.94741,2,1,2.90017,2,7.48414,6.71534,2.45741,1.98983,9.42741,3.85828,23.02983,14.80603,15,4.89552,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"2017-12-18","Abyss HC","UniqueMap",4.74842,2.83439,2,0.9993,2.19211,2,7.92632,6.14719,2,1.93877,8.01175,3.75439,22.64035,14.02316,14.43158,4.51491,1.99877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"2017-12-19","Abyss HC","UniqueMap",4.94193,2.08772,2,1,2.17649,1.97509,8.05579,5.83298,1.84579,1.99263,7.61684,3.92175,23.85842,14.06456,14.21053,4.29211,1.99298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"2017-12-20","Abyss HC","UniqueMap",4.62965,1.99912,2,0.74947,2,1.93158,9.42105,5.12456,2,1.89368,7.4293,3.89386,22.43281,14.60544,14.16316,4.66053,1.93561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"2017-12-21","Abyss HC","UniqueMap",4.0193,2,2,0.91281,1.99982,1.96614,9.40474,5.84596,1.86491,1.87018,7.91842,4,23.79912,16.28667,15,3.98649,1.91667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"2017-12-22","Abyss HC","UniqueMap",3.70193,2,1.64754,1,1.92211,1.86982,7.99614,5.99333,1.35439,1.64561,8.45754,3.54684,25.26281,15.04982,15.34158,3.98912,1.60439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"2017-12-23","Abyss HC","UniqueMap",3.99034,1.99241,1.96948,1,2,1.98259,7.1669,5.99259,2,1,8.59259,4,29.43914,14.8119,15.28379,3.8481,1.99397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"2017-12-24","Abyss HC","UniqueMap",4,1.96474,2,0.99421,1.97982,1.96702,7.84018,6,1.96351,1.02649,9.28404,3.33053,33.68544,14.40895,15,3.15947,1.9986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"2017-12-25","Abyss HC","UniqueMap",3.93862,2,1.27431,0.99397,2,1.96034,8.00914,6,2,1.01466,9.10793,3.75948,31.57207,13.89672,11.24125,3.27431,1.99862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"2017-12-26","Abyss HC","UniqueMap",3.99982,1.97281,1.09316,0.98877,1.99982,1.99789,8.52088,6.01754,2,1,9.53772,3.98702,30.64193,15.14526,10.06897,3.00982,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"2017-12-27","Abyss HC","UniqueMap",4,2,1.54088,0.98702,1.99632,2,9.9486,6.35333,1.90088,1,9.88,4,29.24439,15.30123,10.02526,3,1.9993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"2017-12-28","Abyss HC","UniqueMap",4,1.86754,1.72175,0.99825,1.85474,1.95544,9.88333,5.88088,1.95,1,9.79982,3.93842,26.30895,15.04035,10,3,1.93035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"2017-12-29","Abyss HC","UniqueMap",4,1.99842,1.07895,0.99825,2,1.73684,10.03,5.67719,1.99561,1,9.26175,4,27.99333,15.63404,20,3,1.83772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"2017-12-30","Abyss HC","UniqueMap",3.9886,2,1,0.79579,2,1.3793,9.90035,5.38632,1.99246,1,9.99228,3.99544,27.33684,14.32211,0,3,1.95456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"2017-12-31","Abyss HC","UniqueMap",3.98789,1.98561,1.26386,1,1.95737,1.11228,9.92333,5,2,1,9.97702,4.56667,26.07544,13.89439,0,3,1.30895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"2018-01-01","Abyss HC","UniqueMap",3.72175,1.38456,1.10105,1,1.91175,1.62877,10.78035,5,1.71947,1,9.92246,4.79719,27.28544,13.46982,15,3,1.00877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"2018-01-02","Abyss HC","UniqueMap",3.99727,1.89309,0.99436,0.96491,1.97836,1.78836,10,4.97745,1.72145,0.96036,9.65782,5.97909,27.72418,11.86291,13.16829,3,1.00527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"2018-01-03","Abyss HC","UniqueMap",4,1.58684,0.99947,0.9107,1.59702,1.31193,9.17018,5,1,1,10,6.86807,26.93053,12.31053,17.47351,3,1.44772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"2018-01-04","Abyss HC","UniqueMap",3.58786,1.07839,1,0.99964,1.80607,1.24696,9.38732,4.98821,1.33232,1,10.82089,5.58821,26.33196,13.36446,18.22786,3.49018,1.03089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"2018-01-05","Abyss HC","UniqueMap",3.89636,1.01909,0.94727,1,1.25236,1.31782,9.78873,4.99127,1.22491,1,12.19073,5.91655,28.20455,13.63655,13.32455,3.63691,1.07891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"2018-01-06","Abyss HC","UniqueMap",3.84455,1.22964,1,0.98764,1.77873,1.04418,9.916,5,0.89818,1,13.89236,5.42364,29.81745,11.23564,37.63891,3.394,1.00255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"2018-01-07","Abyss HC","UniqueMap",3.76259,1.5437,1,0.95259,1.94889,1.39315,9.79685,4.91685,1,0.99611,15.81648,5.13056,29.56556,10.51444,16.8137,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"2018-01-08","Abyss HC","UniqueMap",2.95741,1.96185,1,1,1.53944,1.01815,9.39907,4.94611,1.00019,1,16.67796,4.9737,29.99704,10.94074,14.60481,2.8787,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"2018-01-09","Abyss HC","UniqueMap",3.37755,1.83019,1,0.97887,1.99925,1.14528,9.68566,4.56377,1.0583,1,14.84509,4.9434,29.98623,11.87,10.73509,3,1.00264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"2018-01-10","Abyss HC","UniqueMap",3.27345,1.98073,1,0.80073,2,1.09764,9.37891,4.90418,1.01,0.99855,15.44982,4.77309,34.20182,11.64364,10.49855,3.07109,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"2018-01-11","Abyss HC","UniqueMap",3.75407,1.95259,1,0.87056,1.98796,1,9.95463,4.83963,1.00278,0.99815,15.24407,4.61204,37.23352,12,10.58722,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"2018-01-12","Abyss HC","UniqueMap",2.89481,1.69981,1,0.98865,1.86077,1.06,10,5,1.00192,0.98058,14.98615,4.84077,31.94154,12.07712,10.33404,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"2018-01-13","Abyss HC","UniqueMap",3,1.65431,0.99961,1,1.92608,1.06588,10.03176,5,1.28196,1,14.43922,4.99314,30.27392,12.63059,11.31471,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"2018-01-14","Abyss HC","UniqueMap",3,1.5382,1,1,1.8732,1.0082,10.1754,5,1.2782,1,13.9774,5,29.219,12.8946,10.6522,3,1.0086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"2018-01-15","Abyss HC","UniqueMap",3,1.95022,1,1.01043,1.74935,1.07217,10.38717,5.005,1.16609,0.91848,14.15043,6.2337,29.79696,12.79043,10.86935,3.02935,1.06304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"2018-01-16","Abyss HC","UniqueMap",3.23827,1.90019,1,1,2,1.10942,10.83288,5.00462,1.91635,0.99462,14.16577,7.70462,28.89,11.9875,11.77462,3.00981,1.14173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"2018-01-17","Abyss HC","UniqueMap",3.2464,1.9968,1,1,2,1.0858,9.3362,5.2084,1.6076,1,14.5816,8.4138,26.3798,11.2344,11.8796,3,1.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"2018-01-18","Abyss HC","UniqueMap",3,1.92886,1,1,1.54909,1.43955,10.29705,5.98659,1.43341,1,14.92068,7.775,24.975,10.92318,11.52955,2.98955,1.04091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"2018-01-19","Abyss HC","UniqueMap",3,1.90736,0.99019,1,1.10302,1.13755,10.47132,5.60396,1.77472,1,14.18981,6.90302,25.47472,10,11.28604,2.92962,0.92906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"2018-01-20","Abyss HC","UniqueMap",2.92981,1.88404,0.98288,1,1.14558,1.06923,11.31731,5.44173,1.28173,0.99269,14.69135,6.98077,26.74692,10,9.60788,2.97481,0.99308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"2018-01-21","Abyss HC","UniqueMap",3,1.8717,0.99509,1,1.15943,1,11.96358,5.01547,1,0.95962,14.61925,6.67547,25.92943,9.8534,10.5183,2.98962,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"2018-01-22","Abyss HC","UniqueMap",2.51038,1.53308,0.98327,1,1.93365,0.99827,11.91269,5,1,0.99442,14.24538,6.08885,25.26923,10,11.19731,2.95904,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"2018-01-23","Abyss HC","UniqueMap",2.32377,1.99736,0.9183,1,2,1,10.83396,4.9483,1.00038,1,14.3117,5.98453,24.92585,9.99019,12.2966,2.43396,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"2018-01-24","Abyss HC","UniqueMap",2.90365,2,0.97058,1.00731,2,0.99615,10.98827,4.99981,1.18096,0.97615,14.39077,5.99038,24.87635,10,11.56346,2.58346,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"2018-01-25","Abyss HC","UniqueMap",2.97135,2,0.99769,0.99942,1.99827,1,10.55942,4.99212,1.14154,0.94635,14.31038,6,25.00423,10,10.96231,2.64,1.07058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"2018-01-26","Abyss HC","UniqueMap",2.33192,1.96942,0.99385,1.03481,1.99596,1,10.05788,5,1.15865,0.95731,15.88519,5.99365,24.98962,9.70519,10.03365,2.88712,1.00192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"2018-01-27","Abyss HC","UniqueMap",2,2,0.9625,1,1.87827,1,9.78346,5,1.56135,0.96538,15.69981,6,25,9.81538,10.98519,2.68442,1.00577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"2018-01-28","Abyss HC","UniqueMap",2.25712,2,0.9825,1,1.84615,0.99865,9.43192,5,1.51654,0.95269,17.39673,6,25.02731,9.98962,11.18615,2.78942,0.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"2018-01-29","Abyss HC","UniqueMap",2.42827,2,1,1,1.58,0.98885,10.08462,5,1.50212,0.97173,19.42731,6.00673,25.1775,9.47635,11.46615,2.34346,0.96115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"2018-01-30","Abyss HC","UniqueMap",3,2,0.99774,1,1.95245,0.97453,10.84358,5,1.71679,0.97302,17.91094,5.80679,24.9834,9.62528,12.95453,2.36566,0.93283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"2018-01-31","Abyss HC","UniqueMap",3,2,1,1,1.60231,0.98788,10.97635,4.87404,1.19442,0.92154,18.64192,5.09096,24.94231,9.7025,13.91635,2.98558,0.94769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"2018-02-01","Abyss HC","UniqueMap",3,1.905,1,0.93231,2,0.99923,10.50096,5,1.45154,0.89154,19.77442,5.3025,25.05788,10.31365,13.67038,3,0.97769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"2018-02-02","Abyss HC","UniqueMap",3,1.42904,0.98154,1.36212,1.96288,1.00558,11,4.97308,1.4475,0.87615,20.4125,6,25.38673,11.48865,13.12019,2.985,0.91654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"2018-02-03","Abyss HC","UniqueMap",3,1.59269,0.96231,1.40212,1.69885,1,10.955,5,1.73788,0.91077,21.59923,5.93058,26.88423,12.08577,12.3,2.96788,0.99308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"2018-02-04","Abyss HC","UniqueMap",3,1.7566,0.99528,1,1.77906,1.03623,11.18566,5,1.49151,0.99925,21.15566,6,29.43566,10.39113,15.21528,2.93453,1.02113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"2018-02-05","Abyss HC","UniqueMap",3,1.77472,0.91472,1.14491,1.78811,1.41283,12,5,1.60736,1,20.94585,6,30.1334,8.67623,16.39962,2.96321,1.19434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"2018-02-06","Abyss HC","UniqueMap",3.12462,1.60865,1,1.37538,2,1.72327,12.00308,5,1.59865,0.98346,20.03827,6,33.45481,10.18519,17.08654,3,1.20577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"2018-02-07","Abyss HC","UniqueMap",3.99385,1.64827,0.94365,1.98962,2,1.98558,12.02,5.05981,1.39385,0.98654,18.48827,6,33.82692,11.90058,19.78731,3,1.37346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"2018-02-08","Abyss HC","UniqueMap",3.86019,1.84038,0.88327,1.89212,1.95442,1.69731,10.15865,5.2025,1.87692,1,18.45212,6.13981,32.40077,12.0125,20.32423,3,1.34115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"2018-02-09","Abyss HC","UniqueMap",4,1.80377,0.84717,1.03453,1.71811,1.05547,9.79925,4.74264,1.75585,0.91472,19.09113,6,32.6534,13.54509,19.31,3,1.08075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"2018-02-10","Abyss HC","UniqueMap",3.93509,1.71434,0.87679,1.13321,1.66358,1.19472,10.01019,5.35774,1.87811,0.93755,18.97755,6.12264,30.39302,16.56434,20,3,1.92811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"2018-02-11","Abyss HC","UniqueMap",4,1.63769,0.97462,1,1.89404,1.93808,11.21615,6,1.99135,0.99,19.01769,6,30.30308,22.10019,20,3,1.69981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"2018-02-12","Abyss HC","UniqueMap",3.99731,1.29538,0.94385,1,2,1.34788,11.78423,5.99423,1.99808,0.98885,17.35577,6,30.62365,26.15346,20.28038,3,1.00462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"2018-02-13","Abyss HC","UniqueMap",3.93811,1.09245,1,1,2,1.28453,11.91264,5.84094,2,1,16.96132,6.06226,30.08415,28.91981,21.49113,3.40925,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"2018-02-14","Abyss HC","UniqueMap",3.99264,1.26302,1,1,2,1.13887,10.99358,5.11019,2,1,17.78547,6.46396,32.16547,27.14019,22.76509,3.53792,0.99547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"2018-02-15","Abyss HC","UniqueMap",3.64704,1.26704,1,1,2,1.03407,10.08796,5,2,1,17.95296,6.70389,37.98278,28.7587,22.83,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"2018-02-16","Abyss HC","UniqueMap",3.32925,1.0834,1,1,2,1,10.41057,5,1.85849,1,17.17925,6.96528,42.94943,29,22.83,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"2018-02-17","Abyss HC","UniqueMap",3.5275,1.71865,1,1,2,1,11.30962,5.15635,1.12635,1,18.02308,6.98462,40.29904,28.07481,44,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"2018-02-18","Abyss HC","UniqueMap",3,1.81811,0.99868,1,2,1,11.48981,5,1.41302,1.00208,18.08717,7.71283,40.00962,24.77736,41.07925,3,1.00453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"2018-02-19","Abyss HC","UniqueMap",3,1.72585,0.99245,1,2,1.0517,10.13679,4.85566,1.75057,1.20113,17.2934,7,44.53283,19.17642,40.40792,2.87321,1.54868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"2018-02-20","Abyss HC","UniqueMap",3,1.1617,1,1,1.99849,1.26906,9.92019,5.32925,1.02151,1.01585,17.50472,7,50.91415,20.4134,22.6183,2.21189,1.83358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"2018-02-21","Abyss HC","UniqueMap",3,1.15472,1,1,2.18396,1.67264,10.80094,5.61642,1.24566,1.80226,15.58981,7,54.04057,24.84887,18.0466,2.90189,1.92075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,"2018-02-22","Abyss HC","UniqueMap",3,1.16283,1,1,2.24925,1.99774,15.88453,5.83679,1.30849,2,18.45,7,56.13868,25.8683,19.35,3.28604,1.53151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,"2018-02-23","Abyss HC","UniqueMap",3,1.10377,1.22906,1,2.05075,2,15.64962,5.76453,1.48962,2,14.33434,5.07906,56.64113,25.89811,19.38396,3.33736,1.45509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,"2018-02-24","Abyss HC","UniqueMap",3.18,1.11377,1,1.16189,2,2,14.85132,5.47811,1.87434,1.68698,15.07358,4.97038,55.58094,26.84038,24.90811,1.73038,1.52453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"2018-02-25","Abyss HC","UniqueMap",3.95604,1.12943,1,1.35811,2,2,14.54528,5.99962,1.71528,1,15.33396,4,55.83604,40.83585,30.45151,2.17698,1.63264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"2018-02-26","Abyss HC","UniqueMap",3.80041,1.11592,1.06122,1.14917,2,2,12.16375,6.06571,1.23,1.0298,15.46878,3.95918,64.88673,49.04979,33.04408,4,1.98388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"2018-05-04","Bestiary Flashback HC","UniqueMap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2,"2018-05-05","Bestiary Flashback HC","UniqueMap",10.84667,4,10,0,4.285,6.05,4.94,10.4,6.2,7,6.98375,5.21,0,0,0,8,3.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
3,"2018-05-06","Bestiary Flashback HC","UniqueMap",8,4.48571,6.86,3,4,5,5.87731,5,4.85125,5.29,6.96,5,54.1,0,0,5,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
4,"2018-05-07","Bestiary Flashback HC","UniqueMap",7,3.49,5,3,4,3.071,5.71138,5.70444,3,5,5,5,35.55,31.5,0,4,2,0,0,57.34,NA,NA,NA,NA,NA,NA,NA,NA
5,"2018-05-08","Bestiary Flashback HC","UniqueMap",6,3.9,3.93,2.82444,3,3,5,5,3,5,5,8.51,31.43,42.22,0,3,2,0,0,51.67857,NA,NA,NA,NA,NA,NA,NA,NA
6,"2018-05-09","Bestiary Flashback HC","UniqueMap",5,3.02,3.95,1.1325,3.51,3,5.97979,5.0338,2.85556,4.77769,4.3702,10,20,36.696,0,3,2,0,0,45,NA,NA,NA,NA,NA,NA,NA,NA
7,"2018-05-10","Bestiary Flashback HC","UniqueMap",6.33,3,3,2,3,3,7,6,2.3631,3.72793,4.51878,10,27.62,36.07,0,3,2,0,0,40,NA,NA,NA,NA,NA,NA,NA,NA
8,"2018-05-11","Bestiary Flashback HC","UniqueMap",5.3648,3,3,2,3,2,7,6,2.63,4,4.4325,10,34.49,34.39,15,3,2,0,0,38.29,NA,NA,NA,NA,NA,NA,NA,NA
9,"2018-05-12","Bestiary Flashback HC","UniqueMap",5.87929,3,3,1.9575,3,2,7,5,2,2.56224,5,8.46755,31.28,31.44,12,3,2,0,0,35,NA,NA,NA,NA,NA,NA,NA,NA
10,"2018-05-13","Bestiary Flashback HC","UniqueMap",4,3,3,2,3,2,7,5,1.68,3,5,10,30,31.44,12,3.03462,1.65697,0,0,32.88,NA,NA,NA,NA,NA,NA,NA,NA
11,"2018-05-14","Bestiary Flashback HC","UniqueMap",3.86,3,2.86,2,3.21,2,6,5,2,2,5,9.51302,29.9,33.36,12,3.54,1.985,0,238.54,36.66,NA,NA,NA,NA,NA,NA,NA,NA
12,"2018-05-15","Bestiary Flashback HC","UniqueMap",4.58951,3,2,2,3.23,2,6,5,2,2,5,9,25,30,15.59,3.742,1.355,0,164.69,32.92,NA,NA,NA,NA,NA,NA,NA,NA
13,"2018-05-16","Bestiary Flashback HC","UniqueMap",4.58487,2.97,2,2,3.68324,2,6.7657,5,2,2,7.64,9,23.29,26.48,15,3,1,0,147.07,35.02941,NA,NA,NA,NA,NA,NA,NA,NA
14,"2018-05-17","Bestiary Flashback HC","UniqueMap",4,2,2,1.01,3,1.91,6.67357,5,2,1.64122,12.17,9,24.22,20,15,3.49,1,0,115.4,30,NA,NA,NA,NA,NA,NA,NA,NA
15,"2018-05-18","Bestiary Flashback HC","UniqueMap",4,2,2.05,1,3,2,6.55,4.92,2,1.48186,16.03244,6.42,25,18.7625,14.1,3,1,0,113.3,33.48,NA,NA,NA,NA,NA,NA,NA,NA
16,"2018-05-19","Bestiary Flashback HC","UniqueMap",3.23,2,2,1,3,2,6,5,2,1.02378,16,5.66,25,20,15,4,1,0,112.6,31.37,NA,NA,NA,NA,NA,NA,NA,NA
17,"2018-05-20","Bestiary Flashback HC","UniqueMap",4,2,2,1,3,2,6.91,5,2,1,15,5,27,20,14.1,3,1.15,0,99.43,35.5175,NA,NA,NA,NA,NA,NA,NA,NA
18,"2018-05-21","Bestiary Flashback HC","UniqueMap",4,2,2,1.1,3,1.99,7,5,2,1.00575,9.74531,5,26.77,20,12.4,3,1,80,78.49833,32.66,NA,NA,NA,NA,NA,NA,NA,NA
19,"2018-05-22","Bestiary Flashback HC","UniqueMap",4,2,2,1,3,2,7,5,1,2,7.66,3.82,29.77,20,12.2,3,1,80,105.94,22.2,NA,NA,NA,NA,NA,NA,NA,NA
20,"2018-05-23","Bestiary Flashback HC","UniqueMap",4,2,2,1,3,2,7,5,1,2,9.76,3.92966,20.98,9.93,12.2,3,1,0,105.94,20.71,NA,NA,NA,NA,NA,NA,NA,NA
21,"2018-05-24","Bestiary Flashback HC","UniqueMap",4,2,2,1,2.99,2,7,5,1,2,10,3,14.51,10.64077,12.45,3,1,0,119.57,22.01,NA,NA,NA,NA,NA,NA,NA,NA
22,"2018-05-25","Bestiary Flashback HC","UniqueMap",4,2,2,1,2.87,2,7,5.722,1,2,10,3.47,11.89,15.75,10.81,3,1,0,119.57,22.01,NA,NA,NA,NA,NA,NA,NA,NA
23,"2018-05-26","Bestiary Flashback HC","UniqueMap",4.33,2,2,1.15,1.88,2,7,6,1,1.57432,10,3,19.02,21.55,14.12,3,1,0,129.17,24.28,NA,NA,NA,NA,NA,NA,NA,NA
24,"2018-05-27","Bestiary Flashback HC","UniqueMap",5,2,2.00395,1,1.61,2,7.37,6,1,1.48,10,3,21.16,23,14.12,3,1,0,129.17,22.76,NA,NA,NA,NA,NA,NA,NA,NA
25,"2018-05-28","Bestiary Flashback HC","UniqueMap",5,2,1.9,1,1.43,2,7.2,6.37,1.39,2,10,3,21.16,23,15,3,1,0,150,40.14,NA,NA,NA,NA,NA,NA,NA,NA
1,"2018-03-02","Bestiary HC","UniqueMap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2,"2018-03-03","Bestiary HC","UniqueMap",17.33333,9,10,0,0,5,0,0,10,10,18.25806,7,20.46174,25,0,8,6.0087,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
3,"2018-03-04","Bestiary HC","UniqueMap",13.12,6.36,5.98939,8.4432,4.23569,4.37241,10.62686,9.673,5.12426,7.30815,16.10593,6.32037,20.79167,17.26778,50,6.40648,2.51519,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
4,"2018-03-05","Bestiary HC","UniqueMap",9.31019,5.27321,3.11094,4.22604,3.04,3.37623,14.18308,12.28774,3.69151,3.9983,13.96774,4.11981,22.95377,10.43317,39.31509,4.92094,2.96321,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
