"Day","Date","League","Type","Apprentice.Cartographer.s.Sextant","Armourer.s.Scrap","Blacksmith.s.Whetstone","Blessed.Orb","Blessing.of.Chayula","Blessing.of.Esh","Blessing.of.Tul","Blessing.of.Uul.Netol","Blessing.of.Xoph","Cartographer.s.Chisel","Chromatic.Orb","Divine.Orb","Exalted.Orb","Gemcutter.s.Prism","Glassblower.s.Bauble","Jeweller.s.Orb","Journeyman.Cartographer.s.Sextant","Master.Cartographer.s.Sextant","Mirror.of.Kalandra","Offering.to.the.Goddess","Orb.of.Alchemy","Orb.of.Alteration","Orb.of.Annulment","Orb.of.Augmentation","Orb.of.Chance","Orb.of.Fusing","Orb.of.Regret","Orb.of.Scouring","Orb.of.Transmutation","Portal.Scroll","Regal.Orb","Scroll.of.Wisdom","Silver.Coin","Vaal.Orb","Ancient.Orb","Annulment.Shard","Engineer.s.Orb","Exalted.Shard","Harbinger.s.Orb","Mirror.Shard","Orb.of.Binding","Orb.of.Horizons","Perandus.Coin","Stacked.Deck","Timeless.Karui.Emblem","Timeworn.Reliquary.Key","Apprentice.Cartographer.s.Seal","Journeyman.Cartographer.s.Seal","Master.Cartographer.s.Seal","Ancient.Reliquary.Key","Eternal.Orb","Abrasive.Catalyst","Awakened.Sextant","Awakener.s.Orb","Crusader.s.Exalted.Orb","Fertile.Catalyst","Hunter.s.Exalted.Orb","Imbued.Catalyst","Intrinsic.Catalyst","Prime.Sextant","Prismatic.Catalyst","Redeemer.s.Exalted.Orb","Simple.Sextant","Tempering.Catalyst","Turbulent.Catalyst","Warlord.s.Exalted.Orb"
1,"2017-12-08","Abyss","Currency",0,1.09689,0,0,0,0,0,0,0,0,1.29067,0,0,0,0,1,0,0,0,0,5,5,0,5,0,1,1.77724,0,1,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"2017-12-09","Abyss","Currency",1,0.47577,0.48946,0.99208,0,0,0,0,0,0.1937,0.38143,4,26.16644,0.91285,0.44552,0.47942,4.04224,8.2,0,2.05882,2.1085,0.64025,2.30612,0.63528,0.28825,0.5487,0.73356,0.26894,0.49115,0.03542,1.39194,0.22637,0.55129,0.38626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"2017-12-10","Abyss","Currency",0.69114,0.04481,0.06148,0.94935,300,118,0,0,77.56377,0.13182,0.06158,4.70687,35.92556,0.53079,0.34659,0.06289,1.87065,4.07303,3231.21992,2.99138,0.18541,0.03254,2,0.06723,0.08812,0.2537,0.51162,0.28354,0.05635,0.02308,1,0.01325,0.22157,0.37525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"2017-12-11","Abyss","Currency",0.65771,0.03321,0.04659,0.64588,317.18147,106.24366,89.51009,164.79006,93.30382,0.15765,0.07078,5.58222,43.5739,0.60673,0.33418,0.07496,1.83522,3.99035,3329.72176,3,0.24288,0.03612,2.60824,0.04969,0.0931,0.30757,0.63973,0.37138,0.04292,0.02255,1,0.01166,0.26535,0.48103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"2017-12-12","Abyss","Currency",0.66339,0.02851,0.04592,0.66651,364.89583,82.52662,86.78582,160.96364,63.83553,0.1814,0.07772,6.74714,47.99698,0.70856,0.33333,0.0887,1.70785,4,2898.88263,3.05466,0.27675,0.04638,3.86443,0.04021,0.09869,0.36319,0.69709,0.43997,0.04422,0.0226,1.00283,0.01115,0.29527,0.53115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"2017-12-13","Abyss","Currency",0.65554,0.02478,0.04059,0.62256,374.52063,78.03423,93.73034,179.55123,26.76742,0.19968,0.07616,6.98276,45.45841,0.74403,0.33333,0.09088,1.80342,4,2834.80754,3.50523,0.29505,0.04628,4,0.03527,0.09999,0.37074,0.70815,0.461,0.0369,0.02341,1.00788,0.01068,0.30208,0.5608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"2017-12-14","Abyss","Currency",0.63561,0.02142,0.03514,0.58493,351.36302,84.0653,89.43539,136.14938,14.13628,0.20807,0.07386,7,41.32816,0.74711,0.32275,0.09132,1.88746,4,2714.96433,3,0.30274,0.04759,4.23473,0.03312,0.09802,0.37522,0.65709,0.41963,0.03376,0.02082,1,0.01004,0.28905,0.57257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"2017-12-15","Abyss","Currency",0.64265,0.01966,0.03268,0.49058,389.13992,60.4362,57.68985,111.1967,8.68676,0.21992,0.07122,7.10427,42.48889,0.78329,0.27428,0.09382,1.99753,4,3000.11907,3.02721,0.31874,0.0501,5,0.03201,0.09439,0.38854,0.62656,0.40869,0.03233,0.02004,1,0.00998,0.28604,0.5743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"2017-12-16","Abyss","Currency",0.65583,0.01823,0.03203,0.46594,427.76988,47.80293,54.74708,98.57809,5.64724,0.23163,0.07023,7.90875,41.78923,0.83151,0.23779,0.09789,2.13265,4.11682,3121.98949,3.02009,0.32793,0.0517,5,0.02877,0.09301,0.40429,0.59666,0.39201,0.03015,0.02065,1,0.00962,0.28395,0.58823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"2017-12-17","Abyss","Currency",0.7184,0.01733,0.02976,0.45506,424.15966,32.92213,40.6074,110.89207,4.97555,0.24361,0.06905,7.51456,41.5251,0.79738,0.21959,0.09724,2.3835,4.44206,3210.93659,3.98269,0.33023,0.05046,4.99309,0.02654,0.08971,0.40229,0.58008,0.36865,0.02837,0.0208,0.97116,0.00875,0.27413,0.5885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"2017-12-18","Abyss","Currency",0.81107,0.01697,0.03013,0.45388,420.61363,25.34983,30.88389,95.84921,4.17529,0.24372,0.06658,7.63142,45.1072,0.67832,0.19956,0.09875,2.49975,4.95752,3519.92596,4.18817,0.32892,0.05148,5,0.02534,0.08589,0.40571,0.52976,0.34759,0.02693,0.01938,0.91507,0.00785,0.26961,0.57301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"2017-12-19","Abyss","Currency",1,0.01663,0.02863,0.45397,452.746,17.01621,21.78715,75.48544,3.98246,0.24494,0.06376,7.99393,60.96511,0.66667,0.18994,0.10042,2.97876,4.99734,4870.89616,4,0.33275,0.05256,5.08799,0.02437,0.08358,0.41102,0.51644,0.34947,0.02638,0.01903,0.90549,0.00733,0.25917,0.55575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"2017-12-20","Abyss","Currency",1.0052,0.01657,0.02909,0.44571,502.03517,12.38464,17.66522,68.17538,3.80489,0.2542,0.06098,8.80438,69.67122,0.68442,0.19427,0.10985,3.75709,5.36657,5567.25177,4,0.33235,0.05826,5.90498,0.02255,0.08422,0.4552,0.52723,0.35693,0.02681,0.01901,0.90308,0.00781,0.24248,0.557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"2017-12-21","Abyss","Currency",1.14741,0.01762,0.02793,0.43352,533.33542,9.68975,14.42536,63.58833,3.9418,0.27627,0.06285,9.00649,71.29334,0.75039,0.19569,0.11121,4,6.90682,5700.71976,4.25007,0.34634,0.06123,6.47003,0.02223,0.08696,0.4659,0.54245,0.35676,0.02664,0.01861,0.90431,0.00737,0.23641,0.56936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"2017-12-22","Abyss","Currency",1.2527,0.02137,0.02994,0.43596,545.89525,8.17814,11.66971,46.57747,3.86123,0.28739,0.06117,9.54224,74.122,0.8091,0.18774,0.11424,4,7,5770.20968,4.6267,0.36067,0.06609,6.62183,0.02323,0.08845,0.47521,0.5409,0.36082,0.02778,0.01966,0.90289,0.00754,0.23682,0.58361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"2017-12-23","Abyss","Currency",1.25399,0.01707,0.02837,0.4162,534.01408,7.88214,8.20613,40.12287,3.42431,0.28765,0.0619,9.4662,79.05021,0.83333,0.17225,0.11629,4.32365,7,5875.42538,4.05554,0.3701,0.06663,6.95578,0.02334,0.08659,0.47718,0.51487,0.35162,0.02764,0.02032,0.89641,0.00763,0.2339,0.58311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"2017-12-24","Abyss","Currency",1.49077,0.01649,0.02579,0.40983,589.3995,6.22595,7.16739,36.1181,3,0.28879,0.06085,9.89835,85.535,0.85762,0.16451,0.11875,4.9309,6.99138,6325.46394,4.12434,0.35954,0.0668,7,0.02223,0.08365,0.48502,0.48944,0.3288,0.02615,0.0218,0.89923,0.00764,0.21663,0.58425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"2017-12-25","Abyss","Currency",1.5,0.01671,0.02712,0.36149,652.21433,6.45802,6.7767,32.12684,3,0.28499,0.0608,10.00492,90.74893,0.88705,0.14694,0.11766,4.99912,7,7066.27762,4.68183,0.35713,0.07054,6.99605,0.02224,0.07932,0.48225,0.48721,0.30395,0.02726,0.02267,0.89095,0.00734,0.20711,0.58777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"2017-12-26","Abyss","Currency",1.49955,0.01667,0.02725,0.34836,656.84006,6,6.23758,25.06783,2.70415,0.2851,0.05981,10.28011,85.32706,0.91365,0.14355,0.11793,5,6.99833,7295.48288,4.06584,0.36713,0.0735,7.50439,0.02563,0.07732,0.48041,0.48723,0.30229,0.02694,0.02163,0.88343,0.00749,0.20859,0.58658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"2017-12-27","Abyss","Currency",1.56252,0.01753,0.02825,0.34563,642.36551,5.71123,5.41859,20.68078,2.28045,0.28677,0.06304,10.10446,80.56075,0.9496,0.15886,0.11621,5,6.98085,7709.67986,4.39819,0.38441,0.07676,7.95355,0.03151,0.07677,0.46434,0.49632,0.30332,0.02926,0.02276,0.86646,0.00766,0.22159,0.58715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"2017-12-28","Abyss","Currency",1.54565,0.01986,0.02797,0.33316,661.62653,4.9956,4.59885,18.99012,2.21099,0.30618,0.06846,10.70073,82.91698,0.95824,0.16576,0.11463,5.00818,6.93461,8237.83663,4.31441,0.41011,0.07948,8.23768,0.02823,0.07767,0.46009,0.49833,0.31811,0.03055,0.02176,0.86693,0.00788,0.24598,0.60237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"2017-12-29","Abyss","Currency",1.82084,0.02023,0.0275,0.33333,657.55306,4.84293,4,18.67677,2.24654,0.33511,0.08103,10.99876,83.99195,0.99709,0.16581,0.11454,5.43933,6.61438,9019.68712,4.48437,0.45617,0.08331,9.54315,0.02946,0.07707,0.46676,0.54332,0.33529,0.02874,0.02207,0.86955,0.00777,0.27177,0.62327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"2017-12-30","Abyss","Currency",1.99064,0.02299,0.02775,0.33333,642.40143,4.35366,3.98954,19.3733,2.92976,0.3494,0.09017,11.40394,84.24766,1,0.16614,0.11477,6,6.492,9458.17346,4.74992,0.46564,0.08916,9.95309,0.03303,0.07823,0.47411,0.58865,0.33617,0.0302,0.02203,0.88618,0.00805,0.26893,0.75868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"2017-12-31","Abyss","Currency",2,0.0241,0.03029,0.33171,632.99335,4.00175,4,19.74032,2.80503,0.3558,0.09175,11.77589,85.36966,1,0.16667,0.1144,6,6.58198,9645.46435,4.87626,0.4623,0.09068,9.86057,0.04154,0.07941,0.47603,0.61267,0.33217,0.03012,0.02226,0.91123,0.00801,0.27611,0.79906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"2018-01-01","Abyss","Currency",2,0.02372,0.03122,0.34626,616.46386,4.1929,4,22.24409,2.91143,0.35902,0.09046,12.06017,85.3875,0.99924,0.16667,0.11381,6,6.87429,9676.64079,4.9607,0.45984,0.08909,9.95504,0.03332,0.08051,0.47655,0.613,0.31659,0.02872,0.02126,0.95372,0.00783,0.2782,0.79333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"2018-01-02","Abyss","Currency",2,0.0223,0.02913,0.33988,582.62509,4,4,27.06527,2.12158,0.3625,0.08764,11.97356,87.69038,0.99903,0.16647,0.11332,5.98884,6.88352,9689.22096,4.99225,0.44909,0.08537,9.93938,0.03265,0.0798,0.47352,0.57949,0.30641,0.03044,0.02017,0.91756,0.00794,0.27722,0.76435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"2018-01-03","Abyss","Currency",2,0.02192,0.02772,0.33299,547.57762,4,3.79557,29.25856,2.2359,0.36199,0.08358,12,90.22788,0.98055,0.16666,0.11295,5.90695,6.88015,9854.30221,5.02417,0.44124,0.08502,9.98246,0.03319,0.07724,0.47008,0.55276,0.30593,0.03206,0.02173,0.89878,0.00832,0.26744,0.7326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"2018-01-04","Abyss","Currency",2,0.02446,0.02855,0.33333,513.41514,3.83555,3.71352,27.62344,2.00415,0.37541,0.08658,12.03986,91.21405,0.93284,0.16664,0.11149,5.99103,7,9982.67721,5.08272,0.44467,0.08481,10.022,0.03299,0.07718,0.45724,0.54517,0.32106,0.0294,0.02333,0.90693,0.00833,0.25662,0.71358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"2018-01-05","Abyss","Currency",2.10412,0.0258,0.02866,0.33333,500.20909,4,3.64323,26.71058,2,0.4171,0.08985,11.99861,90.67512,0.91968,0.16595,0.10982,6,7,10172.81301,5.41955,0.45369,0.08616,10.23394,0.03326,0.07895,0.44888,0.53162,0.37098,0.0293,0.02376,0.90909,0.00831,0.25235,0.74382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"2018-01-06","Abyss","Currency",2.48909,0.02404,0.02821,0.33333,492.13462,3.52613,3.01238,22.50719,2,0.4615,0.09569,11.97997,91.11682,0.90954,0.1654,0.1084,6.17519,7.05556,10583.94904,5.73068,0.45925,0.08779,10.11495,0.03333,0.08283,0.44217,0.54758,0.38951,0.02852,0.0236,0.92683,0.00833,0.24866,0.82637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"2018-01-07","Abyss","Currency",2.82392,0.02283,0.02736,0.33333,477.79859,4,3.21057,19.48903,2,0.47019,0.0955,11.95994,90.39382,0.92304,0.16302,0.10643,6.99891,7.85689,11269.94225,5.4697,0.46046,0.08916,10.19503,0.03333,0.08539,0.43634,0.55273,0.37726,0.02865,0.02488,0.94035,0.00818,0.24674,0.85458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"2018-01-08","Abyss","Currency",2.99998,0.02223,0.02768,0.33313,433.12396,4,3.0022,19.34523,2,0.47768,0.09491,12,90.05419,0.92685,0.1634,0.10534,7,8.14358,11841.61178,5.84794,0.45413,0.09066,10.30724,0.03333,0.08481,0.42728,0.55443,0.37881,0.02853,0.02453,0.92243,0.0081,0.24371,0.9468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"2018-01-09","Abyss","Currency",3,0.02437,0.02829,0.33142,395.03854,4,3,18.89569,2,0.48438,0.09223,11.94336,89.94693,0.89758,0.15991,0.10255,7.10767,8.54406,12170.61975,6,0.44463,0.09338,10.54718,0.03332,0.08757,0.41621,0.55235,0.37508,0.02853,0.02474,0.90827,0.00808,0.24099,0.98904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"2018-01-10","Abyss","Currency",3.21176,0.02453,0.02776,0.32994,385.92413,4,3,18.03686,2,0.48211,0.09096,11.94186,89.87451,0.88986,0.15479,0.10037,7.2779,8.51769,12202.73675,5.97606,0.43433,0.09318,10.8225,0.0339,0.09096,0.4083,0.54146,0.38065,0.02828,0.02438,0.90879,0.00786,0.22908,1.00064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"2018-01-11","Abyss","Currency",3.43789,0.02427,0.0282,0.32735,382.82798,4,3,17.20162,2,0.48794,0.09084,12,89.6155,0.88235,0.1432,0.09862,7.19483,8.38977,12250.85469,6.01927,0.43311,0.09642,10.83967,0.03681,0.0917,0.40395,0.55137,0.40562,0.02839,0.02489,0.90552,0.00818,0.22477,1.00403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"2018-01-12","Abyss","Currency",3.14951,0.02214,0.02821,0.31354,378.50051,3.86288,2.15861,16.88679,2,0.4937,0.09133,11.99774,88.81333,0.89636,0.14695,0.0965,7.0625,8.11362,12301.82798,6.58318,0.43322,0.09774,10.96036,0.03715,0.0968,0.39986,0.55574,0.41162,0.02793,0.02493,0.90519,0.00825,0.22599,1.10228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"2018-01-13","Abyss","Currency",3.00646,0.02305,0.02851,0.30564,373.71432,3.26803,2,14.83415,2,0.49979,0.09427,11.92025,86.78846,0.90165,0.15345,0.09605,7,7.90028,12227.34942,6.19566,0.43196,0.09961,11.29435,0.03605,0.09714,0.39951,0.56134,0.42565,0.02608,0.02456,0.90868,0.00813,0.22675,1.26695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"2018-01-14","Abyss","Currency",2.98872,0.02461,0.02891,0.30324,350.99987,3.55015,2,12,2,0.50805,0.09764,11.9979,81.81886,0.90469,0.15559,0.09421,6.53569,7.10585,11622.40899,6.00799,0.41955,0.09812,11.15392,0.04266,0.09744,0.39294,0.56241,0.42492,0.0273,0.02498,0.90883,0.00804,0.24611,1.37634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"2018-01-15","Abyss","Currency",2.76542,0.02433,0.02818,0.29958,326.14994,3.12696,2,12,2,0.5015,0.09715,11.97817,78.63808,0.89594,0.15716,0.09191,6,7,11148.33039,6.17543,0.4129,0.09906,11.93049,0.04726,0.09883,0.37699,0.55249,0.42397,0.02747,0.02499,0.90909,0.00798,0.2566,1.3316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"2018-01-16","Abyss","Currency",2.53181,0.0236,0.02848,0.28827,313.9561,3,2,11.98633,2,0.50267,0.09734,11.94045,77.85869,0.89917,0.15615,0.09007,6,7,10930.34589,6.145,0.40492,0.09896,11.94331,0.04564,0.09921,0.3682,0.55794,0.40317,0.02813,0.02476,0.90891,0.00785,0.26106,1.19178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"2018-01-17","Abyss","Currency",2.49153,0.02475,0.02841,0.28791,303.50072,3.39923,2,11.97237,2,0.50049,0.09739,11.98486,77.20399,0.88976,0.14467,0.0877,6,7,10887.68625,6.16853,0.40546,0.09915,12.30183,0.04278,0.09726,0.36758,0.56033,0.39938,0.02647,0.02447,0.909,0.00789,0.25758,1.08337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"2018-01-18","Abyss","Currency",2.47729,0.02419,0.02808,0.28567,303.22238,3.02384,2,12,1.90708,0.5,0.09678,11.98413,76.77234,0.89367,0.14445,0.08694,6,6.99739,10905.34496,6,0.4015,0.09661,13.19532,0.0385,0.09021,0.36582,0.55827,0.39567,0.02539,0.02381,0.90772,0.00804,0.26198,1.12557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"2018-01-19","Abyss","Currency",2.48887,0.02163,0.02782,0.28342,305.72223,3,2,11.30189,1.83977,0.49943,0.09773,12,72.81259,0.89916,0.14119,0.08589,6,7,10420.51216,6.12783,0.3946,0.09582,14.06655,0.03759,0.09081,0.35734,0.56499,0.38814,0.0251,0.0241,0.8997,0.00786,0.26252,1.11679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"2018-01-20","Abyss","Currency",2.43572,0.02339,0.02779,0.2724,296.58284,3.24166,2,10.55436,2,0.49757,0.0995,11.99971,68.9256,0.89563,0.13681,0.08429,5.89389,6.7761,10241.08302,6.06432,0.38545,0.09377,13.11313,0.03825,0.09114,0.3477,0.56769,0.3856,0.02504,0.02281,0.87953,0.00775,0.2589,1.09242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"2018-01-21","Abyss","Currency",2.3334,0.02266,0.02828,0.26459,291.96934,3,2,10.23483,2,0.4901,0.10154,11.8759,67.84483,0.86796,0.13869,0.07934,5.70823,6.29573,10536.97067,6.01465,0.37368,0.0905,12.03923,0.03894,0.0908,0.32928,0.56525,0.38519,0.02447,0.02223,0.83968,0.00711,0.26148,1.08608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"2018-01-22","Abyss","Currency",2.30449,0.02048,0.02459,0.26695,290.2901,3,2,10.21841,2,0.49231,0.10425,11.93807,70.44751,0.88106,0.14223,0.07931,5.71004,6.42071,11004.4944,6.03469,0.3697,0.09021,11.99784,0.03922,0.09084,0.33049,0.575,0.39392,0.02346,0.0218,0.83333,0.00722,0.2623,1.06682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"2018-01-23","Abyss","Currency",2.36484,0.01987,0.02468,0.26177,292.11246,3,2,10.00177,2,0.49468,0.10342,11.99856,75.27812,0.86812,0.13783,0.07975,5.91604,6.47867,11733.31454,5.97901,0.37031,0.09081,12,0.03999,0.09091,0.33324,0.59344,0.39679,0.02251,0.0218,0.83328,0.0072,0.26,1.09488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
