"Date","League","Type","Potent.Alchemical.Resonator","Potent.Chaotic.Resonator","Powerful.Alchemical.Resonator","Powerful.Chaotic.Resonator","Prime.Alchemical.Resonator","Prime.Chaotic.Resonator","Primitive.Alchemical.Resonator","Primitive.Chaotic.Resonator"
2019-11-21,"Standard","Resonator",0.62,1,0.37,1,100,99.47061,0.37,1
2019-11-22,"Standard","Resonator",0.63,1.09,0.36,1,98.1,93.28,0.36,1
2019-11-23,"Standard","Resonator",1,1,0.8103,1,90,90,0.36505,1
2019-11-24,"Standard","Resonator",1,1.58,1,1,90,88.08,0.46,1
2019-11-25,"Standard","Resonator",1,2,1,1,95,86.26515,0.37,1
2019-11-26,"Standard","Resonator",1,2,0.69,1,95,90,0.36,1
2019-11-27,"Standard","Resonator",1,2,0.75,1,90,90,0.36,1
2019-11-28,"Standard","Resonator",1,2,0.46,1,98,98.46,0.37,1
2019-11-29,"Standard","Resonator",1,2,0.4,1,99.25,100,0.37,1
2019-11-30,"Standard","Resonator",1,2,0.37,1,100,110,0.37,1
2019-12-01,"Standard","Resonator",1,2,0.37,1,100,109.83,0.37,1
2019-12-02,"Standard","Resonator",0.79505,2,0.37,1,99.50128,108.27909,0.37,1
2019-12-03,"Standard","Resonator",0.7,2,0.37,1,98.94,100,0.37,1
2019-12-04,"Standard","Resonator",0.7,2,0.37,1,94.0021,96.92995,0.37,1
2019-12-05,"Standard","Resonator",0.71,2,0.37,1,90,97.56,0.37,1
2019-12-06,"Standard","Resonator",0.77,1.03005,0.37,1,90,100,0.37,1
2019-12-07,"Standard","Resonator",1,1.15505,0.38,1,90,100,0.38,1
2019-12-08,"Standard","Resonator",1,1,0.38,1,95,97.76,0.38,1
2019-12-09,"Standard","Resonator",0.74,1,0.37,1,90.34831,98.47,0.37,1
2019-12-13,"Standard","Resonator",1,1.64505,0.45,1,80,90.38566,0.29,1
2019-12-14,"Standard","Resonator",1,1.71,0.29,1,80,90.2,0.29,1
2019-12-15,"Standard","Resonator",1,1.12626,0.45,1,80.09091,90,0.5,1
2019-12-16,"Standard","Resonator",1,1,0.43,1,82.55,90.87,0.5,1
2019-12-17,"Standard","Resonator",1,1,0.43,1,84.11,90,0.34015,1
2019-12-18,"Standard","Resonator",1,1,0.44,1,76.92,90,0.33,1
2019-12-19,"Standard","Resonator",1,1,0.5,1,75.99,94.37,0.33,1
2019-12-20,"Standard","Resonator",1,1,0.5,1,71.74,95,0.34,1
2019-12-21,"Standard","Resonator",1,1,0.5,1,78.58,95.79,0.34,1
2019-12-22,"Standard","Resonator",1,1.39,0.5,1,78.22,90,0.36,1
2019-12-23,"Standard","Resonator",0.64005,1,0.47,1,75,85,0.36,1
2019-12-24,"Standard","Resonator",0.36,1,0.36,1,71.32,85,0.36,1
2019-12-25,"Standard","Resonator",0.36,1.58,0.36,1,70,85,0.36,1
2019-12-26,"Standard","Resonator",0.35005,2,0.35,1,74.44818,84.71,0.36,1
2019-12-27,"Standard","Resonator",0.46,1,0.35,1,74.58181,80,0.35,1
2019-12-28,"Standard","Resonator",0.34,1,0.34,1,74.47107,80,0.27,1
2019-12-29,"Standard","Resonator",0.33,1,0.33,1,75,80,0.33,1
2019-12-30,"Standard","Resonator",0.33,1,0.33,1,76.03924,75,0.33,1
2019-12-31,"Standard","Resonator",0.95,1,0.33,1,75,75,0.33,1
2020-01-01,"Standard","Resonator",0.81005,1.95005,0.34,1,70,79.30063,0.3,1
2020-01-02,"Standard","Resonator",1,2,0.34,1,69.78,75,0.33,1
2020-01-03,"Standard","Resonator",1,2,0.41,1,70,77.94,0.32,1
2020-01-04,"Standard","Resonator",1,2,0.43,1,70,80,0.3901,1
2020-01-05,"Standard","Resonator",1,2,0.5,1,69.99545,80,0.33,1
2020-01-06,"Standard","Resonator",1,2,0.5,1,70,80,0.32,1
2020-01-07,"Standard","Resonator",0.97005,2,0.5,1,70,80,0.32,1
2020-01-08,"Standard","Resonator",0.64,2,0.49,1,79.65,84.55341,0.31,1
2020-01-09,"Standard","Resonator",1,2.81005,0.49,1,80,80,0.31,1
2020-01-10,"Standard","Resonator",0.71,2,0.36005,1,73.76,79.68,0.32,1
2020-01-11,"Standard","Resonator",0.83005,2,0.32,1,74.64,79.23682,0.32,1
2020-01-12,"Standard","Resonator",0.8,2,0.5,1,70,76.13702,0.31,1
2020-01-13,"Standard","Resonator",0.63,2,0.5,1,70,70,0.31,1
2020-01-14,"Standard","Resonator",0.69,2,0.5,1,70,80,0.31,1
2020-01-15,"Standard","Resonator",0.73,2,0.5,1,70,80,0.31,1
2020-01-16,"Standard","Resonator",0.8701,2,0.5,1,70,76.67,0.33,1
2020-01-17,"Standard","Resonator",1,2,0.5,1,70,80,0.31,1
2020-01-18,"Standard","Resonator",1,2,0.62005,1,70,80,0.28,1
2020-01-19,"Standard","Resonator",1,2,0.59505,1,70.68,79.9603,0.3,1
2020-01-20,"Standard","Resonator",1,2,0.53,1,70,77.10439,0.31,1
2020-01-21,"Standard","Resonator",0.94,2,0.67,1,70,79,0.31,1
2020-01-22,"Standard","Resonator",0.95,2,1,1,70,79,0.31,1
2020-01-23,"Standard","Resonator",0.97,2.82,1,1,70,79,0.31,1
2020-01-24,"Standard","Resonator",1,3,1,1,70,80,0.31,1
2020-01-25,"Standard","Resonator",1,2.5701,1,1,69.75224,80,0.46,1
2020-01-26,"Standard","Resonator",0.92,2,0.92005,1,67.24788,80,0.42,1
2020-01-27,"Standard","Resonator",0.97,2,0.5,1,63.38337,79.78,0.31,1
2020-01-28,"Standard","Resonator",1,2,0.42,1,69.27,80,0.32,1
2020-01-29,"Standard","Resonator",0.91005,2,0.36,1,69.86,80,0.3,1
2020-01-30,"Standard","Resonator",1,2,0.35505,1,70,80,0.3,1
2020-01-31,"Standard","Resonator",1,2,0.5,1,73.05,81.37,0.3,1
2020-02-01,"Standard","Resonator",0.64015,2,0.62,1,71.38,80,0.32,1
2020-02-02,"Standard","Resonator",0.5701,2,0.6,1,70,79.6,0.32,1
2020-02-03,"Standard","Resonator",0.57,2,0.62,1,70,71.59,0.33,1
2020-02-04,"Standard","Resonator",0.51,2,0.5,1.22,70,70,0.33,1
2020-02-05,"Standard","Resonator",0.54,2,0.49,1.97525,65,70,0.33,1
2020-02-06,"Standard","Resonator",0.58,1.92505,0.5,1.42505,65,70,0.33,1
2020-02-07,"Standard","Resonator",0.83,1.24,0.49,1.24525,67.23267,70,0.33,1
2020-02-08,"Standard","Resonator",0.44505,1,0.33,2,69.57,71.01,0.33,1
2020-02-09,"Standard","Resonator",0.53,2,0.32,1,70,73.53,0.32,1
2020-02-10,"Standard","Resonator",0.69,2,0.33,1,70,70,0.33,1
2020-02-11,"Standard","Resonator",0.5,2,0.33,1,71.88,73.97,0.33,1
2020-02-12,"Standard","Resonator",1,2,0.39,1,75,75.72494,0.33,1
2020-02-13,"Standard","Resonator",1,1,0.5,1,74.08,75.45,0.33,1
2020-02-14,"Standard","Resonator",1,1,0.5,1,70,78.26,0.35,1
2020-02-15,"Standard","Resonator",1,1,0.5,1,70,79.82,0.34,1
2020-02-16,"Standard","Resonator",1,1,0.39,1,70.96,78.74753,0.34,1
2020-02-17,"Standard","Resonator",0.76,2,0.35,1,71.19,75.90638,0.31,1
2020-02-18,"Standard","Resonator",1,1.94515,0.35,1,70,76.38,0.35,1
2020-02-19,"Standard","Resonator",0.72,1,0.36,1,69,77.82856,0.36,1
2020-02-20,"Standard","Resonator",0.74,1.07,0.37,1,70,80,0.37,1
2020-02-21,"Standard","Resonator",0.74,1.78015,0.37,1,70,80,0.37,1
2020-02-22,"Standard","Resonator",1,2,0.41505,1,70,79.02881,0.37,1
2020-02-23,"Standard","Resonator",1,1.11005,0.5,1,70.24946,80,0.38,1
2020-02-24,"Standard","Resonator",0.51,1,0.5,1,70,82.89944,0.3,1
2020-02-25,"Standard","Resonator",0.64,1,0.5,1,70.49956,83.89,0.38,1
2020-02-26,"Standard","Resonator",0.89,1,0.5,1,72.14,80.93538,0.41005,1
2020-02-27,"Standard","Resonator",1,1,0.5,1,69.77323,79.70188,0.4,1
2020-02-28,"Standard","Resonator",0.96,1,0.5,1,69,79.74182,0.4,1
2020-02-29,"Standard","Resonator",1,1,0.39,1,70,80,0.39,1
2020-03-01,"Standard","Resonator",0.5,1,0.40005,1,70,80,0.4,1
2020-03-02,"Standard","Resonator",1,1,0.5,1,70.12101,78.16525,0.41,1
2020-03-03,"Standard","Resonator",0.94,1,0.51505,1,70,75.29,0.39,1
2020-03-04,"Standard","Resonator",0.53045,1,0.5,1,70,75,0.39,1
2020-03-05,"Standard","Resonator",0.98,1,0.79,1,70,70,0.43,1
2020-03-06,"Standard","Resonator",0.5,1,0.5,1,69.88,68.1704,0.39,1
2020-03-07,"Standard","Resonator",0.52,1,0.5,1,69.21025,65,0.41,1
2020-03-08,"Standard","Resonator",0.51,1,0.42,1,67.43081,70,0.38,1
2020-03-09,"Standard","Resonator",0.5,1,0.36,1,69,70,0.36,1
